Treatment,Number_CDR3,H
Pre,20,0.79167123
Pre,13,0.77924938
Pre,10,0.74685774
Pre,6,0.489201117
Pre,3,0.812040681
Pre,25,0.598712223
Pre,17,0.530863105
Pre,16,0.679561181
Pre,9,0.294170248
Pre,30,0.852301328
Pre,2,0.41381685
Pre,18,0.722349251
Pre,1,0
Pre,43,0.944081089
Pre,10,0.746323708
Pre,34,0.831544077
Pre,37,0.709349254
Pre,21,0.443446056
Pre,2,0.918295834
Pre,7,0.821070579
Pre,5,0.818934233
Pre,21,0.68634706
Pre,3,1
Pre,18,0.902970564
Pre,7,0.973214633
Pre,4,0.745557425
Pre,1,0
Pre,3,1
Pre,7,0.94876951
Pre,7,0.94876951
Pre,1,0
Pre,1,0
Pre,2,0.811278124
Pre,3,0.487852771
Pre,2,0.918295834
Pre,2,1
Pre,1,0
Pre,37,0.504969426
Pre,14,0.678328
Pre,1,0
Pre,7,0.150405493
Pre,8,0.982567593
Pre,3,0.789690082
Pre,4,0.678389825
Pre,1,0
Pre,3,0.960229718
Pre,2,0.811278124
Pre,2,0.918295834
Pre,4,0.896240625
Pre,1,0
Pre,6,0.960058249
Pre,6,0.543648558
Pre,8,0.666435776
Pre,2,1
Pre,16,0.900227344
Pre,32,0.532195491
Pre,9,0.261841535
Pre,4,1
Pre,2,1
Pre,1,0
Pre,5,0.766356131
Pre,1,0
Pre,1,0
Pre,17,0.856847721
Pre,1,0
Pre,4,0.725830382
Pre,14,0.802570641
Pre,17,0.763970354
Pre,7,0.702066767
Pre,1,0
Pre,4,0.842737649
Pre,1,0
Pre,2,0.918295834
Pre,2,0.918295834
Pre,16,0.771185923
Pre,8,0.764839969
Pre,13,0.88244972
Pre,15,0.588817922
Pre,3,0.86991553
Pre,4,0.959147917
Pre,4,0.943959251
Pre,7,0.235509247
Pre,5,0.9697239
Pre,3,0.864973521
Pre,1,0
Pre,6,0.935944697
Pre,1,0
Pre,2,1
Pre,2,1
Pre,4,1
Pre,2,0.918295834
Pre,15,0.519171495
Pre,7,0.979569765
Pre,3,1
Pre,6,0.94363773
Pre,9,0.684858662
Pre,1,0
Pre,36,0.709726357
Pre,1,0
Pre,29,0.837671023
Pre,10,0.975006431
Pre,19,0.816428718
Pre,1,0
Pre,4,0.921185497
Pre,1,0
Pre,1,0
Pre,3,0.94639463
Pre,21,0.549171169
Pre,9,0.956060178
Pre,2,1
Pre,18,0.823102198
Pre,11,0.875785673
Pre,1,0
Pre,1,0
Pre,2,1
Pre,1,0
Pre,6,0.613645897
Pre,2,1
Pre,3,0.546294702
Pre,6,0.81934
Pre,3,0.669591946
Pre,1,0
Pre,12,0.943268022
Pre,2,1
Pre,12,0.950030091
Pre,11,0.745854949
Pre,5,0.118702217
