Treatment,Number_CDR3,H
Pre,7,0.68781734
Pre,1,0
Pre,66,0.904972231
Pre,61,0.966732657
Pre,55,0.891364081
Pre,46,0.67297835
Pre,11,0.332005917
Pre,123,0.887073288
Pre,15,0.932057344
Pre,115,0.888064828
Pre,72,0.942981137
Pre,42,0.783510777
Pre,17,0.593223403
Pre,39,0.795177408
Pre,7,0.935334027
Pre,16,0.873171942
Pre,49,0.791872036
Pre,160,0.841339472
Pre,42,0.960637672
Pre,207,0.836429325
Pre,105,0.900176052
Pre,60,0.833117424
Pre,93,0.354832895
Pre,31,0.683003302
Pre,28,0.851254333
Pre,49,0.856466607
Pre,84,0.69408832
Pre,11,0.63083201
Pre,59,0.706714992
Pre,3,1
Pre,14,0.830667007
Pre,6,0.975503759
Pre,26,0.794961411
Pre,21,0.95526258
Pre,5,1
Pre,15,0.890498335
Pre,38,0.907497687
Pre,3,0.581671866
Pre,2,1
Pre,2,0.721928095
Pre,1,0
Pre,6,0.422907022
Pre,1,0
Pre,4,0.786175832
Pre,5,0.72049304
Pre,1,0
Pre,3,0.864973521
Pre,16,0.551421677
Pre,19,0.799347743
Pre,102,0.897917869
Pre,148,0.906916246
Pre,4,0.952819531
Pre,10,0.737352515
Pre,123,0.855409755
Pre,7,0.459635373
Pre,38,0.914746999
Pre,14,0.671163429
Pre,16,0.923684916
Pre,20,0.867338496
Pre,16,0.98303451
Pre,30,0.936582261
Pre,14,0.293519535
Pre,2,1
Pre,30,0.848966031
Pre,5,0.809656833
Pre,101,0.918742862
Pre,7,0.898374192
Pre,26,0.883522122
Pre,23,0.777530454
Pre,5,0.9697239
Pre,63,0.898523662
Pre,3,0.864973521
Pre,33,0.976354828
Pre,38,0.82349495
Pre,19,0.900085565
Pre,10,0.962440978
Pre,122,0.911355594
Pre,4,0.725233732
Pre,44,0.588506369
Pre,2,0.918295834
Pre,5,1
Pre,17,0.549475308
Pre,19,0.586805259
Pre,115,0.711788543
Pre,6,0.935944697
Pre,25,0.839624336
Pre,142,0.881555303
Pre,132,0.549280815
Pre,43,0.736117769
Pre,60,0.804188354
Pre,20,0.855962662
Pre,4,0.807002731
Pre,13,0.76118518
Pre,24,0.866762091
Pre,7,0.87016506
Pre,12,0.944483486
Pre,82,0.827907761
Pre,18,0.966597495
Pre,87,0.828645733
Pre,74,0.665440856
Pre,41,0.441960373
Pre,44,0.929137578
Pre,20,0.897309258
Pre,62,0.911446843
Pre,43,0.802317275
Pre,21,0.947786861
Pre,29,0.817631805
Pre,21,0.402991907
Pre,2,0.811278124
Pre,1,0
Pre,1,0
Pre,38,0.555287956
Pre,7,0.340009037
Pre,6,1
Pre,5,0.916516443
Pre,4,0.506330174
Pre,16,0.886492564
Pre,26,0.736741184
Pre,14,0.488958649
Pre,12,0.92048282
Pre,32,0.557280024
Pre,47,0.639266961
Pre,48,0.782472202
Pre,7,0.979569765
Pre,10,0.93110661
Pre,80,0.910481645
Pre,9,0.984858662
Pre,157,0.916220823
Pre,3,0.69136983
Pre,105,0.945853648
Pre,54,0.922446118
Pre,84,0.899635342
Pre,2,0.543564443
Pre,13,0.990287117
Pre,3,0.94639463
Pre,2,1
Pre,23,0.958147178
Pre,8,0.894196244
Pre,2,0.918295834
Pre,34,0.724705207
Pre,19,0.851871544
Pre,11,0.809260462
Pre,13,0.79967779
Pre,2,1
Pre,1,0
Pre,3,0.94639463
Pre,2,0.650022422
Pre,2,0.918295834
Pre,2,1
Pre,1,0
Pre,1,0
Pre,21,0.951374386
Pre,18,0.684412357
Pre,13,0.90344373
Pre,27,0.957777475
Pre,11,0.892068106
Pre,27,0.38091713
Pre,5,0.682606194
Pre,52,0.86328769
Pre,5,0.962961065
Pre,52,0.826979759
Pre,48,0.951704903
Pre,32,0.856429896
Pre,46,0.934840573
Pre,24,0.742270988
Pre,13,0.966863347
Pre,36,0.858330576
Pre,12,0.753777953
Pre,19,0.810342237
Pre,19,0.989150879
Pre,41,0.565189736
Pre,20,0.600316992
Pre,16,0.970044981
Pre,36,0.351816901
Pre,35,0.855806246
Pre,4,1
Pre,20,0.923175492
Pre,4,0.960964047
Pre,2,0.650022422
Pre,139,0.75626977
Pre,123,0.874613303
Pre,38,0.879815056
Pre,29,0.80615491
Pre,39,0.861405463
Pre,53,0.717721641
Pre,4,0.572555207
Pre,9,0.753884714
Pre,26,0.959952474
Pre,34,0.951066801
Pre,4,0.744262647
Pre,18,0.9492327
Pre,1,0
Pre,12,0.963139651
Pre,5,0.9697239
Pre,34,0.953936803
Pre,35,0.786977503
Pre,19,0.64104201
Pre,6,0.916269589
Pre,24,0.815129902
Pre,50,0.858781281
Pre,17,0.470735901
Pre,9,0.941734626
Pre,10,1
Pre,4,0.960964047
Pre,22,0.793524811
Pre,1,0
Pre,17,0.891313968
Pre,3,0.94639463
Pre,15,0.769599522
Pre,15,0.825186214
Pre,3,0.960229718
Pre,61,0.645699166
Pre,81,0.89986984
Pre,14,0.239128007
Pre,29,0.569543484
Pre,7,0.898328913
Pre,13,0.945624794
Pre,1,0
Pre,20,0.978700039
Pre,13,0.343509055
Pre,26,0.965952682
Pre,1,0
Pre,36,0.824203627
Pre,2,1
Pre,37,0.887215223
Pre,5,0.969022256
Pre,94,0.6785963
Pre,57,0.796268248
Pre,88,0.737805521
Pre,9,0.984858662
Pre,89,0.646341482
Pre,14,0.984935756
Pre,144,0.328181206
Pre,4,0.960964047
Pre,111,0.855055826
Pre,1,0
Pre,101,0.887850245
Pre,38,0.9483004
Pre,21,0.748541709
Pre,3,0.94639463
Pre,8,0.217219897
Pre,165,0.757477422
Pre,11,0.761478585
Pre,16,0.808298992
Pre,49,0.809267708
Pre,1,0
Pre,21,0.14823099
Pre,9,0.973226528
Pre,75,0.616408231
Pre,5,0.212426874
Pre,35,0.98193377
Pre,16,0.652833233
Pre,78,0.826316535
Pre,36,0.295860884
Pre,1,0
Pre,2,0.863120569
Pre,2,0.811278124
Pre,111,0.82237187
Pre,6,0.835975008
Pre,44,0.391829041
Pre,54,0.407468643
Pre,5,0.902205709
Pre,77,0.87896006
Pre,13,0.946714067
Pre,56,0.848306321
Pre,60,0.895625453
Pre,27,0.847140001
Pre,1,0
Pre,1,0
Pre,4,0.785475297
Pre,126,0.815411812
Pre,6,1
Pre,75,0.796811183
Pre,58,0.838931809
Pre,53,0.574285828
Pre,11,0.942590729
Pre,53,0.734048185
Pre,30,0.982699822
Pre,20,0.596967254
Pre,16,0.610904775
Pre,10,0.95752614
Pre,13,0.493604149
Pre,2,0.918295834
Pre,19,0.58431855
Pre,2,1
Pre,53,0.889272457
Pre,23,0.911405422
Pre,32,0.411345775
Pre,70,0.691928118
Pre,24,0.954183413
Pre,90,0.927316273
Pre,70,0.645002421
Pre,31,0.848440462
Pre,49,0.841500615
Pre,89,0.937018404
Pre,35,0.85298105
Pre,112,0.87404819
Pre,22,0.969457949
Pre,12,0.919023166
Pre,20,0.940240272
Pre,14,0.900257891
Pre,4,1
Pre,4,0.83224889
Pre,13,0.9196494
Pre,6,0.967132018
Pre,14,0.708770805
Pre,11,0.809375555
Pre,1,0
Pre,10,0.907130618
Pre,2,1
Pre,22,0.948777738
Pre,14,0.927828724
Pre,3,0.86991553
Pre,1,0
Pre,5,0.785043949
Pre,1,0
Pre,5,0.671398281
Pre,3,0.864973521
Pre,10,0.836186247
Pre,2,1
Pre,3,1
Pre,9,0.850556101
Pre,2,0.41381685
Pre,1,0
Pre,2,1
Pre,1,0
Pre,1,0
Pre,26,0.900702064
Pre,1,0
Pre,2,0.918295834
Pre,2,1
Pre,16,0.943020106
Pre,43,0.870068001
Pre,27,0.937144555
Pre,56,0.872508832
Pre,14,0.908543592
Pre,54,0.790849677
Pre,5,0.93497753
Pre,1,0
Pre,13,0.900459311
Pre,3,0.864973521
Pre,1,0
Pre,1,0
Pre,2,1
Pre,75,0.681356394
Pre,74,0.808229166
Pre,8,0.95771356
Pre,9,0.888456387
Pre,59,0.770476698
Pre,18,0.568967941
Pre,1,0
Pre,1,0
Pre,33,0.866317552
Pre,25,0.807341949
Pre,39,0.902731667
Pre,3,1
Pre,41,0.65305741
Pre,5,0.906104679
Pre,46,0.922624988
Pre,100,0.6841223
Pre,56,0.392377024
Pre,79,0.783418272
Pre,13,0.57972291
Pre,152,0.718886557
Pre,83,0.880567409
Pre,121,0.778036601
Pre,10,0.80792125
Pre,6,0.975503759
Pre,18,0.880626211
Pre,1,0
Pre,1,0
Pre,3,0.94639463
Pre,12,0.934517175
Pre,28,0.728163345
Pre,25,0.598563956
Pre,3,0.94639463
Pre,34,0.594204695
Pre,6,0.717335695
Pre,22,0.913640701
Pre,14,0.672752329
Pre,70,0.879453134
Pre,10,0.380151237
Pre,48,0.828484355
Pre,26,0.408774611
Pre,39,0.339882829
Pre,64,0.775136272
Pre,33,0.815307871
Pre,42,0.767913279
Pre,28,0.808002637
Pre,2,0.918295834
Pre,72,0.838898972
Pre,68,0.875077429
Pre,22,0.959814304
Pre,1,0
Pre,1,0
Pre,2,1
Pre,2,1
Pre,63,0.691618659
Pre,10,0.39921335
Pre,9,0.885633083
Pre,40,0.690774246
Pre,51,0.667955166
Pre,29,0.935828613
Pre,39,0.874753938
Pre,1,0
Pre,12,0.506912947
Pre,103,0.748748209
Pre,18,0.852216773
Pre,19,0.820453768
Pre,5,0.928383212
Pre,3,0.960229718
Pre,6,0.411429284
Pre,10,0.975006431
Pre,6,0.859661049
Pre,5,1
Pre,1,0
Pre,1,0
Pre,4,0.960964047
Pre,2,1
Pre,8,0.88313249
Pre,6,0.946411928
Pre,105,0.827201471
Pre,1,0
Pre,131,0.670547514
Pre,3,0.323783798
Pre,7,0.401967226
Pre,101,0.663100547
Pre,10,0.926441678
Pre,9,0.956060178
Pre,22,0.540320828
Pre,13,0.709854021
Pre,19,0.695120037
Pre,1,0
Pre,12,0.76964704
Pre,4,1
Pre,35,0.673386129
Pre,7,0.685166283
Pre,1,0
Pre,19,0.282988707
Pre,1,0
Pre,15,0.250600131
Pre,24,0.670933405
Pre,12,0.569286258
Pre,5,0.344065845
Pre,20,0.631322554
Pre,6,0.395637273
Pre,41,0.866973088
Pre,4,0.676015051
Pre,19,0.817207702
Pre,10,0.541628423
Pre,4,0.959147917
Pre,13,0.41041462
Pre,32,0.773180114
Pre,19,0.966445056
Pre,40,0.604894613
Pre,47,0.84190473
Pre,13,0.898504829
Pre,16,0.892577998
Pre,29,0.524047043
Pre,5,0.436880215
Pre,13,0.668470393
Pre,16,0.966499653
Pre,45,0.911564274
Pre,1,0
Pre,9,0.984858662
Pre,68,0.943079192
Pre,49,0.876258244
Pre,4,0.088036172
Pre,54,0.788031648
Pre,5,0.928383212
Pre,37,0.59632189
Pre,48,0.860641264
Pre,18,0.750282824
Pre,42,0.386784932
Pre,2,0.811278124
Pre,14,0.911638967
Pre,8,0.835793367
Pre,2,0.591672779
Pre,6,0.954644448
Pre,5,1
Pre,1,0
Pre,14,0.626210464
Pre,11,0.980723941
Pre,28,0.960028286
Pre,49,0.356490249
Pre,11,0.939460686
Pre,29,0.939573919
Pre,32,0.830193538
Pre,2,1
Pre,13,0.753002477
Pre,1,0
Pre,8,0.906431509
Pre,10,0.8595576
Pre,17,0.924935396
Pre,3,1
Pre,1,0
Pre,11,0.889193229
Pre,5,0.700012439
Pre,5,0.962961065
Pre,5,0.861353116
Pre,48,0.767197855
Pre,1,0
