Treatment,Number_CDR3,H
Pre,2,0.970950594
Pre,8,0.885213021
Pre,57,0.903693738
Pre,53,0.947822953
Pre,23,0.941809274
Pre,37,0.958200828
Pre,10,0.957879197
Pre,94,0.661151886
Pre,13,0.920773878
Pre,24,0.91524004
Pre,42,0.594132508
Pre,79,0.678094152
Pre,9,0.759964666
Pre,80,0.941621975
Pre,5,0.811865428
Pre,60,0.829629233
Pre,27,0.855214284
Pre,76,0.887770007
Pre,14,0.850804416
Pre,52,0.757402928
Pre,35,0.959070255
Pre,25,0.979443411
Pre,15,0.925265536
Pre,13,0.721909663
Pre,17,0.963610442
Pre,29,0.35630097
Pre,36,0.886587488
Pre,10,0.761435191
Pre,29,0.944051317
Pre,16,0.949054401
Pre,2,1
Pre,16,0.97310178
Pre,1,0
Pre,24,0.98618923
Pre,17,0.793573988
Pre,10,0.852685788
Pre,5,1
Pre,1,0
Pre,1,0
Pre,1,0
Pre,2,0.721928095
Pre,2,0.918295834
Pre,1,0
Pre,4,1
Pre,76,0.657262383
Pre,6,1
Pre,20,0.947433547
Pre,1,0
Pre,29,0.904527762
Pre,4,0.896240625
Pre,17,0.992991019
Pre,6,0.81934
Pre,3,0.960229718
Pre,2,1
Pre,17,0.936834222
Pre,7,0.96957035
Pre,10,0.55118666
Pre,8,0.638148195
Pre,10,0.770926996
Pre,21,0.776751337
Pre,1,0
Pre,20,0.936257905
Pre,3,1
Pre,3,0.94639463
Pre,9,0.695221778
Pre,1,0
Pre,43,0.862248891
Pre,4,0.921185497
Pre,24,0.985299101
Pre,21,0.281185863
Pre,7,1
Pre,6,1
Pre,13,0.75486845
Pre,5,0.9697239
Pre,8,0.991185754
Pre,5,0.763829537
Pre,7,0.925989518
Pre,56,0.92385972
Pre,5,0.569941936
Pre,9,0.976614669
Pre,37,0.521626726
Pre,44,0.930257555
Pre,15,0.947931635
Pre,9,0.855941288
Pre,3,0.94639463
Pre,2,0.222284831
Pre,2,0.918295834
Pre,5,1
Pre,1,0
Pre,1,0
Pre,28,0.94182377
Pre,11,0.766691667
Pre,37,0.940913768
Pre,19,0.692686084
Pre,10,0.755894629
Pre,7,0.852075672
Pre,3,0.864973521
Pre,11,0.850985172
Pre,24,0.815124294
Pre,11,0.921933051
Pre,10,0.926516
Pre,9,0.764440695
Pre,2,0.918295834
Pre,2,0.811278124
Pre,6,0.181153847
Pre,8,0.901743001
Pre,2,1
Pre,6,0.889721375
Pre,5,0.460356916
Pre,3,0.94639463
Pre,22,0.886593188
Pre,14,0.933217458
Pre,10,0.986659959
Pre,10,0.95752614
Pre,37,0.94193785
Pre,4,0.960964047
Pre,85,0.925547734
Pre,40,0.839293202
Pre,32,0.731576699
Pre,42,0.95886288
Pre,11,0.910380033
Pre,1,0
Pre,1,0
Pre,11,0.961100933
Pre,7,0.838345708
Pre,1,0
Pre,5,0.9697239
Pre,9,0.77634772
Pre,8,0.757499819
Pre,32,0.966841892
Pre,2,1
Pre,1,0
Pre,2,0.918295834
Pre,1,0
Pre,1,0
Pre,1,0
Pre,1,0
Pre,1,0
Pre,1,0
Pre,1,0
Pre,1,0
Pre,11,0.276252605
Pre,6,0.547565873
Pre,8,0.316294173
Pre,1,0
Pre,13,0.874767867
Pre,1,0
Pre,12,0.943994175
Pre,1,0
Pre,23,0.91642547
Pre,26,0.873182126
Pre,21,0.573132103
Pre,29,0.8206985
Pre,3,1
Pre,13,0.965417553
Pre,5,0.962961065
Pre,16,0.903278241
Pre,40,0.785918492
Pre,21,0.880828095
Pre,8,0.973976032
Pre,9,0.984858662
Pre,11,0.759517639
Pre,19,0.932006104
Pre,25,0.956345962
Pre,5,0.809656833
