Treatment,Number_CDR3,H
Pre,6,0.946411928
Pre,1,0
Pre,25,0.992007324
Pre,15,0.457537311
Pre,10,0.926516
Pre,7,0.888951698
Pre,2,0.811278124
Pre,21,0.882415614
Pre,2,0.439496987
Pre,72,0.966580822
Pre,57,0.982752842
Pre,114,0.971815626
Pre,131,0.936780509
Pre,8,1
Pre,81,0.98521573
Pre,8,0.917209722
Pre,154,0.837877248
Pre,26,0.992353494
Pre,134,0.795899354
Pre,92,0.816497236
Pre,38,0.963866694
Pre,30,0.913097814
Pre,20,0.925226422
Pre,20,0.718902287
Pre,40,0.891271717
Pre,58,0.880146479
Pre,7,0.916719593
Pre,63,0.569989096
Pre,1,0
Pre,13,0.958383223
Pre,1,0
Pre,20,0.891485306
Pre,2,0.258018669
Pre,16,0.886648391
Pre,19,0.977509919
Pre,40,0.829711044
Pre,7,0.599705682
Pre,3,1
Pre,1,0
Pre,4,0.572555207
Pre,1,0
Pre,3,0.94639463
Pre,1,0
Pre,1,0
Pre,3,0.864973521
Pre,13,0.94583354
Pre,16,0.970044981
Pre,20,0.967625033
Pre,38,0.801417206
Pre,3,0.421817199
Pre,11,0.980723941
Pre,1,0
Pre,4,0.319527639
Pre,7,1
Pre,11,0.667867821
Pre,13,0.977417518
Pre,9,0.922176843
Pre,7,0.942680715
Pre,6,1
Pre,3,0.02288219
Pre,32,0.761271744
Pre,3,1
Pre,32,0.872170651
Pre,3,1
Pre,5,0.913864688
Pre,11,0.961955575
Pre,1,0
Pre,33,0.944955848
Pre,91,0.87599941
Pre,20,0.884461675
Pre,10,0.726412002
Pre,8,0.982567593
Pre,4,0.370842378
Pre,109,0.848779146
Pre,2,1
Pre,13,0.812353404
Pre,1,0
Pre,1,0
Pre,8,0.59506903
Pre,71,0.843055092
Pre,6,0.935944697
Pre,7,0.946287461
Pre,73,0.802910303
Pre,56,0.798344819
Pre,17,0.987752392
Pre,10,0.308408692
Pre,10,0.766695205
Pre,4,0.360057159
Pre,5,0.946265187
Pre,9,0.691917617
Pre,2,1
Pre,2,0.811278124
Pre,72,0.893642072
Pre,23,0.93951211
Pre,78,0.88473789
Pre,59,0.647716152
Pre,24,0.916439607
Pre,15,0.917014348
Pre,19,0.771716466
Pre,39,0.398945922
Pre,33,0.867674916
Pre,7,0.626862417
Pre,25,0.676387899
Pre,20,0.952413952
Pre,4,0.431008647
Pre,4,0.975106032
Pre,1,0
Pre,2,1
Pre,7,0.908063094
Pre,10,0.95752614
Pre,15,0.880658485
Pre,7,0.973214633
Pre,9,0.672028792
Pre,44,0.705423703
Pre,28,0.631472639
Pre,9,0.976614669
Pre,15,0.965202974
Pre,13,0.727129367
Pre,2,1
Pre,46,0.861661425
Pre,2,0.918295834
Pre,29,0.607355638
Pre,15,0.89924957
Pre,24,0.754719002
Pre,1,0
Pre,13,0.990287117
Pre,1,0
Pre,2,1
Pre,63,0.917494533
Pre,17,0.842475168
Pre,8,0.947456998
Pre,45,0.781122761
Pre,31,0.90882033
Pre,29,0.834665255
Pre,2,0.985228136
Pre,16,0.873353815
Pre,1,0
Pre,1,0
Pre,2,0.918295834
Pre,5,0.603081826
Pre,1,0
Pre,16,0.608015271
Pre,11,0.714895424
Pre,2,1
Pre,17,0.983966889
Pre,5,1
Pre,24,0.793661161
Pre,3,1
Pre,12,0.841820283
Pre,3,1
Pre,46,0.686911558
Pre,32,0.970611181
Pre,24,0.866931004
Pre,29,0.907953072
Pre,22,0.444382094
Pre,22,0.927765854
Pre,10,0.931305704
Pre,19,0.737195089
Pre,61,0.816355591
Pre,11,0.910380033
Pre,25,0.981100219
Pre,19,0.25168234
Pre,21,0.81845966
Pre,35,0.754928773
Pre,48,0.890986313
Pre,3,1
Pre,21,0.821721288
Pre,3,1
Pre,89,0.308037676
Pre,3,1
Pre,49,0.79807697
Pre,64,0.890941968
Pre,14,0.930159164
Pre,29,0.884618687
Pre,13,0.906181412
Pre,10,0.832256029
Pre,2,0.918295834
Pre,19,0.972931867
Pre,19,0.387043488
Pre,30,0.853881275
Pre,2,1
Pre,37,0.565279967
Pre,2,1
Pre,22,0.947367685
Pre,7,1
Pre,19,0.290278359
Pre,35,0.865064091
Pre,11,0.96466001
Pre,2,0.918295834
Pre,21,0.687973717
Pre,15,0.73201053
Pre,48,0.900284632
Pre,5,0.913864688
Pre,3,1
Pre,2,1
Pre,2,0.863120569
Pre,9,0.653517752
Pre,5,0.928383212
Pre,15,0.882915638
Pre,1,0
Pre,43,0.866961901
Pre,38,0.814065389
Pre,9,0.851601804
Pre,27,0.848341103
Pre,6,0.930628224
Pre,10,0.713915809
Pre,16,0.956977446
Pre,10,0.978837914
Pre,15,0.958931215
Pre,1,0
Pre,14,0.818970401
Pre,6,0.967132018
Pre,27,0.802993235
Pre,5,0.810316363
Pre,80,0.207142791
Pre,16,0.915483218
Pre,31,0.798508543
Pre,8,0.917811462
Pre,33,0.274690866
Pre,8,1
Pre,74,0.86076532
Pre,19,0.886628274
Pre,54,0.844126724
Pre,25,0.856149163
Pre,2,0.187176257
Pre,20,0.91431001
Pre,5,0.778385397
Pre,3,1
Pre,3,0.960229718
Pre,27,0.850174169
Pre,9,0.886044613
Pre,7,0.968632254
Pre,46,0.541840495
Pre,26,0.969431044
Pre,5,0.962961065
Pre,31,0.154928621
Pre,3,0.864973521
Pre,15,0.913279816
Pre,5,1
Pre,24,0.875475536
Pre,20,0.956439024
Pre,1,0
Pre,2,1
Pre,1,0
Pre,1,0
Pre,1,0
Pre,74,0.702347876
Pre,51,0.756097233
Pre,8,0.80122582
Pre,27,0.851603971
Pre,29,0.959825677
Pre,3,1
Pre,55,0.94828834
Pre,4,1
Pre,33,0.943647962
Pre,18,0.964798397
Pre,14,0.914827816
Pre,47,0.747318485
Pre,4,0.960964047
Pre,49,0.898351068
Pre,5,0.809656833
Pre,45,0.326865447
Pre,4,1
Pre,54,0.843191086
Pre,13,0.965407228
Pre,10,0.470484527
Pre,5,1
Pre,9,0.424937462
Pre,13,0.990287117
Pre,2,0.918295834
Pre,14,0.703930363
Pre,3,1
Pre,27,0.864195994
Pre,13,0.916325015
Pre,4,0.921185497
Pre,36,0.89871889
Pre,9,0.976614669
Pre,31,0.837843287
Pre,69,0.823699603
Pre,28,0.940279414
Pre,19,0.890093062
Pre,82,0.74289029
Pre,26,0.941079541
Pre,91,0.652459206
Pre,30,0.975190191
Pre,24,0.94674964
Pre,30,0.961935639
Pre,5,0.858752495
Pre,3,1
Pre,6,0.975503759
Pre,7,0.955897076
Pre,4,0.921185497
Pre,5,0.171635812
Pre,8,0.763005997
Pre,4,0.960964047
Pre,26,0.871142916
Pre,5,0.9697239
Pre,9,0.895990892
Pre,5,0.787652024
Pre,6,0.252587102
Pre,4,1
Pre,1,0
Pre,9,0.88199434
Pre,1,0
Pre,1,0
Pre,1,0
Pre,11,0.956427337
Pre,5,0.762706907
Pre,2,0.811278124
Pre,24,0.857446658
Pre,40,0.983835605
Pre,29,0.960682473
Pre,106,0.943674373
Pre,21,0.975974591
Pre,29,0.866421175
Pre,7,1
Pre,6,0.623136524
Pre,3,0.772506886
Pre,2,0.721928095
Pre,20,0.965549125
Pre,20,0.363265766
Pre,4,0.959147917
Pre,5,0.678783951
Pre,18,0.349026263
Pre,5,0.700576755
Pre,2,1
Pre,23,0.771853885
Pre,14,0.908036325
Pre,8,0.982567593
Pre,1,0
Pre,11,0.988109092
Pre,1,0
Pre,13,0.924911161
Pre,32,0.944584633
Pre,4,0.960964047
Pre,18,0.909578527
Pre,6,0.935944697
Pre,34,0.889175296
Pre,20,0.841479026
Pre,40,0.771359638
Pre,9,0.019568039
Pre,1,0
Pre,1,0
Pre,1,0
Pre,2,1
Pre,1,0
Pre,3,0.724834092
Pre,5,0.9697239
Pre,14,0.818115477
Pre,5,1
Pre,19,0.646603752
Pre,6,0.930628224
Pre,4,0.921185497
Pre,69,0.735978791
Pre,4,0.875
Pre,28,0.39758133
Pre,11,0.624733004
Pre,29,0.941314602
Pre,37,0.926263475
Pre,15,0.914441696
Pre,21,0.911296022
Pre,8,0.778022982
Pre,59,0.967789809
Pre,57,0.558521784
Pre,17,0.91664833
Pre,1,0
Pre,1,0
Pre,1,0
Pre,2,1
Pre,2,1
Pre,1,0
Pre,1,0
Pre,17,0.786016906
Pre,18,0.872878272
Pre,3,0.94639463
Pre,2,0.811278124
Pre,4,0.960964047
Pre,2,0.811278124
Pre,4,0.786701226
Pre,1,0
Pre,1,0
Pre,3,1
Pre,1,0
Pre,27,0.482521993
Pre,4,0.896240625
Pre,81,0.627618945
Pre,7,0.924324387
Pre,48,0.961588233
Pre,47,0.967451677
Pre,32,0.756848934
Pre,7,0.745155937
Pre,16,0.859813504
Pre,1,0
Pre,5,0.946265187
Pre,4,1
Pre,4,0.960964047
Pre,20,0.756934241
Pre,6,0.557960768
Pre,1,0
Pre,3,0.960229718
Pre,1,0
Pre,14,0.895557468
Pre,11,0.939460686
Pre,8,0.696996656
Pre,2,1
Pre,14,0.896801421
Pre,1,0
Pre,25,0.452025938
Pre,1,0
Pre,14,0.980870379
Pre,5,0.928383212
Pre,12,0.989297256
Pre,4,0.921185497
Pre,19,0.729559884
Pre,5,0.941762301
Pre,36,0.281721449
Pre,26,0.473702559
Pre,11,0.980723941
Pre,6,0.916269589
Pre,2,1
Pre,9,0.930688286
Pre,9,0.978534578
Pre,31,0.815172155
Pre,4,1
Pre,37,0.945890347
Pre,22,0.983722269
Pre,3,1
Pre,46,0.916686834
Pre,2,1
Pre,38,0.138583601
Pre,33,0.875870168
Pre,19,0.728621894
Pre,11,0.92958657
Pre,4,0.122986132
Pre,16,0.655927678
Pre,4,0.975106032
Pre,3,0.446426747
Pre,7,0.879561313
Pre,14,0.903484046
Pre,23,0.955359362
Pre,27,0.74783155
Pre,56,0.923587834
Pre,13,0.948829241
Pre,49,0.905775201
Pre,15,0.927454993
Pre,1,0
Pre,2,0.918295834
Pre,2,1
Pre,11,0.819799068
Pre,11,0.857674058
Pre,1,0
Pre,1,0
Pre,5,0.967488765
Pre,8,0.764839969
Pre,3,0.230351812
Pre,20,0.858910396
Pre,5,1
Pre,31,0.345905192
Pre,2,1
Pre,7,0.816598298
Pre,9,0.954965533
Pre,17,0.848025643
Pre,22,0.915593323
Pre,4,0.896240625
Pre,6,0.968392514
Pre,12,0.601561087
Pre,4,0.844741134
Pre,5,0.861353116
Pre,9,0.973226528
Pre,5,0.807574986
Pre,2,0.918295834
Pre,1,0
Pre,88,0.810261326
Pre,18,0.493059043
Pre,65,0.793943695
Pre,34,0.85208659
Pre,25,0.963867961
Pre,11,0.951824044
Pre,12,0.850870785
Pre,5,0.762706907
Pre,38,0.928998853
Pre,14,0.904947837
Pre,64,0.764523596
Pre,32,0.725658149
Pre,44,0.75720849
Pre,11,0.939460686
Pre,41,0.90276038
Pre,5,1
Pre,85,0.677738521
Pre,23,0.916936309
Pre,1,0
Pre,4,1
Pre,1,0
Pre,6,0.975503759
Pre,3,0.960229718
Pre,2,0.918295834
Pre,7,1
Pre,2,0.918295834
Pre,11,0.539076955
Pre,37,0.393849071
Pre,40,0.95186505
Pre,10,0.323284851
Pre,13,0.965407228
Pre,11,0.963938447
Pre,1,0
Pre,1,0
Pre,198,0.927145364
Pre,70,0.589917675
Pre,116,0.942886194
Pre,2,0.970950594
Pre,75,0.900405057
Pre,20,0.935330925
Pre,227,0.939278578
Pre,64,0.779382436
Pre,49,0.944387236
Pre,42,0.978681777
Pre,41,0.552641511
Pre,5,1
Pre,78,0.923845782
Pre,12,0.82867594
Pre,6,0.968392514
Pre,18,0.952933371
Pre,24,0.888778562
Pre,9,0.885633083
Pre,24,0.93965236
Pre,6,0.975503759
Pre,75,0.885149866
Pre,3,0.850864229
Pre,30,0.613257689
Pre,16,0.948772147
Pre,102,0.903912544
Pre,55,0.787329327
Pre,35,0.941949231
Pre,58,0.89899221
Pre,105,0.762097979
Pre,69,0.959068132
Pre,17,0.981382632
Pre,43,0.887382289
Pre,62,0.839409515
Pre,20,0.931264245
Pre,5,0.681340626
Pre,2,1
Pre,1,0
Pre,2,0.918295834
Pre,4,0.828871363
Pre,7,0.714172469
Pre,8,0.834419445
Pre,24,0.966773409
Pre,13,0.969710256
Pre,7,0.8846258
Pre,3,1
Pre,3,0.819448372
Pre,3,0.920619836
Pre,56,0.794870446
Pre,32,0.836512116
Pre,35,0.842678607
Pre,5,0.9697239
Pre,32,0.5972112
Pre,11,0.923647664
Pre,77,0.899652962
Pre,1,0
Pre,1,0
Pre,1,0
Pre,37,0.883435893
Pre,13,0.849564485
Pre,31,0.881539079
Pre,6,0.968392514
Pre,12,0.853282033
Pre,6,1
Pre,5,0.916516443
Pre,16,0.685006093
On,9,0.976614669
On,16,0.98303451
On,15,0.546675116
On,10,0.978837914
On,7,0.924324387
On,24,0.885229973
On,3,0.86991553
On,86,0.986420633
On,65,0.936034799
On,114,0.948029536
On,1,0
On,125,0.921902588
On,5,0.809656833
On,69,0.99103872
On,3,0.622365973
On,152,0.939268576
On,25,0.986705604
On,109,0.817173091
On,81,0.827624747
On,34,0.852319528
On,30,0.871384157
On,14,0.816869104
On,14,0.743599129
On,38,0.860363136
On,54,0.856641486
On,6,0.902494548
On,63,0.606403469
On,2,0.918295834
On,14,0.951100073
On,11,0.988109092
On,1,0
On,16,0.834721561
On,13,0.983727396
On,30,0.813312572
On,5,0.760139011
On,5,0.72049304
On,7,0.973214633
On,2,1
On,56,0.862135417
On,2,0.918295834
On,10,0.947126573
On,11,0.916118324
On,19,0.930931716
On,32,0.772163132
On,11,0.988109092
On,8,0.925787598
On,2,1
On,5,0.201005475
On,5,0.762706907
On,13,0.955801741
On,11,0.793188725
On,11,0.930652384
On,6,0.946411928
On,5,0.9697239
On,3,0.02392693
On,29,0.798231633
On,1,0
On,41,0.880056904
On,3,1
On,6,0.975503759
On,10,0.95752614
On,2,1
On,30,0.947792317
On,81,0.818716886
On,14,0.980870379
On,15,0.91371226
On,8,0.982567593
On,3,0.271941304
On,28,0.922759769
On,4,0.960964047
On,13,0.916325015
On,4,1
On,3,1
On,4,0.960964047
On,6,0.642185608
On,77,0.836260436
On,7,0.774384855
On,14,0.972543828
On,88,0.821683143
On,68,0.840406059
On,24,0.976248812
On,15,0.419696301
On,20,0.796093524
On,4,0.356644825
On,16,0.918827717
On,9,0.871737498
On,4,1
On,1,0
On,3,1
On,76,0.893435381
On,18,0.966996587
On,66,0.893637375
On,53,0.899565114
On,19,0.869940263
On,18,0.913264155
On,12,0.336633997
On,35,0.462047131
On,37,0.842143834
On,5,0.628823987
On,24,0.582206919
On,16,0.707694944
On,21,0.947428414
On,4,0.516162027
On,3,0.94639463
On,1,0
On,6,1
On,10,0.914698407
On,12,0.96729606
On,12,0.826016061
On,11,0.94348835
On,8,0.617163071
On,34,0.482763436
On,29,0.699164179
On,9,0.973226528
On,20,0.970820518
On,23,0.77906017
On,4,0.960964047
On,68,0.937769708
On,1,0
On,39,0.590518405
On,17,0.942696255
On,22,0.844675897
On,1,0
On,14,0.907972726
On,1,0
On,10,0.69229307
On,72,0.929418023
On,14,0.877079742
On,12,0.938165162
On,38,0.825610871
On,24,0.947930516
On,25,0.936421281
On,2,0.918295834
On,19,0.916897504
On,1,0
On,1,0
On,7,0.686561314
On,1,0
On,15,0.567405743
On,7,0.96957035
On,4,0.745557425
On,22,0.959814304
On,6,0.930628224
On,24,0.839447544
On,3,1
On,19,0.966096973
On,6,1
On,44,0.597922375
On,37,0.989397893
On,22,0.82002471
On,28,0.911860733
On,18,0.477257491
On,22,0.925830523
On,21,0.797356061
On,20,0.838726348
On,39,0.916319047
On,14,0.911020039
On,18,0.866753111
On,19,0.243728298
On,26,0.839038909
On,29,0.578444592
On,45,0.863548928
On,2,1
On,21,0.89542693
On,3,0.920619836
On,1,0
On,2,1
On,54,0.785195232
On,56,0.852666978
On,16,0.91280266
On,27,0.814019374
On,27,0.948117895
On,11,0.347832496
On,16,0.962305978
On,21,0.392471854
On,42,0.90111948
On,2,0.918295834
On,36,0.621914663
On,18,0.952933371
On,4,1
On,5,0.9697239
On,29,0.872364869
On,14,0.909629018
On,4,0.959147917
On,20,0.737894289
On,2,1
On,2,0.918295834
On,23,0.96336424
On,3,1
On,5,1
On,3,0.669591946
On,1,0
On,12,0.495126409
On,9,0.925559619
On,15,0.838526017
On,2,0.918295834
On,36,0.91829157
On,48,0.919657555
On,9,0.954908028
On,25,0.813430023
On,3,0.772506886
On,14,0.72362496
On,1,0
On,18,0.949008442
On,10,0.975006431
On,29,0.956379249
On,1,0
On,18,0.855074301
On,3,0.864973521
On,48,0.782829665
On,4,0.960964047
On,61,0.200697306
On,23,0.976708507
On,35,0.847364529
On,4,0.775549086
On,26,0.188202748
On,6,1
On,76,0.884226689
On,2,1
On,58,0.911043808
On,48,0.419073731
On,3,0.253875369
On,24,0.962943756
On,7,1
On,1,0
On,6,0.967132018
On,65,0.837082202
On,7,0.898328913
On,31,0.964743885
On,1,0
On,5,1
On,26,0.134551108
On,4,0.960964047
On,18,0.972669329
On,9,0.649801665
On,82,0.339840926
On,18,0.867095836
On,1,0
On,1,0
On,2,0.918295834
On,1,0
On,2,1
On,44,0.908178697
On,48,0.802696354
On,10,0.884976716
On,27,0.89921199
On,24,0.978660743
On,4,0.959147917
On,44,0.833636891
On,3,0.94639463
On,32,0.987836619
On,25,0.922099559
On,21,0.969950983
On,1,0
On,29,0.833507936
On,4,0.959147917
On,35,0.890831121
On,21,0.890139775
On,28,0.635425647
On,3,1
On,28,0.972613466
On,16,0.970511277
On,13,0.643060563
On,9,0.984858662
On,9,0.615454556
On,12,0.96729606
On,2,1
On,17,0.671920913
On,1,0
On,21,0.826829879
On,13,0.898254032
On,7,0.735879241
On,38,0.962953758
On,9,0.953352274
On,36,0.878361093
On,80,0.820981885
On,17,0.952178806
On,27,0.861326012
On,65,0.730067828
On,30,0.915219382
On,78,0.632026979
On,30,0.97712663
On,22,0.909245694
On,35,0.968832025
On,8,0.808780212
On,2,1
On,4,0.544615039
On,4,0.959147917
On,2,1
On,6,0.898244402
On,10,0.919096808
On,9,0.919641945
On,1,0
On,29,0.850054681
On,3,0.960229718
On,4,0.28520075
On,15,0.862491954
On,2,0.811278124
On,7,0.355844502
On,3,0.94639463
On,7,0.970835763
On,15,0.893216056
On,1,0
On,2,1
On,2,1
On,1,0
On,2,1
On,17,0.959825679
On,1,0
On,25,0.411459886
On,4,0.820111964
On,21,0.91223636
On,49,0.949508338
On,24,0.940784085
On,100,0.940301801
On,28,0.984849619
On,112,0.835683222
On,5,0.959210152
On,10,0.974110895
On,1,0
On,2,0.811278124
On,1,0
On,3,0.724834092
On,24,0.967961521
On,21,0.428003796
On,3,1
On,6,0.731868324
On,18,0.254429849
On,5,0.88668288
On,1,0
On,3,0.864973521
On,15,0.674964064
On,7,0.889833176
On,12,0.963139651
On,1,0
On,11,0.905615404
On,3,1
On,10,0.974110895
On,38,0.612176092
On,24,0.932280201
On,24,0.894154744
On,3,0.94639463
On,68,0.686170955
On,28,0.880539692
On,44,0.855958858
On,9,0.010811591
On,3,1
On,1,0
On,1,0
On,3,0.772506886
On,12,0.963139651
On,13,0.866153057
On,2,1
On,11,0.868329935
On,1,0
On,6,0.898244402
On,4,1
On,56,0.832700224
On,6,0.967132018
On,30,0.333128185
On,11,0.891512876
On,31,0.878972159
On,32,0.907249456
On,13,0.983727396
On,27,0.95103306
On,12,0.814133781
On,42,0.972620852
On,48,0.596870041
On,16,0.961337734
On,1,0
On,1,0
On,1,0
On,1,0
On,1,0
On,1,0
On,1,0
On,1,0
On,7,0.607112925
On,47,0.809108881
On,13,0.70375453
On,19,0.954823489
On,4,0.959147917
On,7,0.957742056
On,3,0.94639463
On,1,0
On,4,0.960964047
On,1,0
On,3,1
On,1,0
On,5,1
On,11,0.823182243
On,10,0.96025501
On,67,0.647277542
On,9,0.783794541
On,53,0.953473743
On,34,0.651293225
On,27,0.733483625
On,12,0.700689395
On,6,0.930628224
On,5,0.916516443
On,1,0
On,4,1
On,2,0.918295834
On,23,0.88530165
On,5,0.591130512
On,2,0.970950594
On,3,0.819448372
On,2,0.650022422
On,16,0.85076006
On,12,0.55208544
On,10,0.975496208
On,1,0
On,14,0.888901669
On,2,1
On,27,0.733383826
On,2,0.309543429
On,23,0.981576902
On,11,0.865289886
On,2,0.566509507
On,6,0.859661049
On,10,0.568690265
On,7,0.888951698
On,36,0.258039561
On,25,0.9121668
On,7,0.979569765
On,6,0.960058249
On,8,0.982567593
On,6,0.795495515
On,29,0.914942615
On,6,0.930628224
On,37,0.963669026
On,22,0.975869482
On,1,0
On,39,0.948117848
On,2,1
On,38,0.153452336
On,37,0.766060776
On,12,0.717875644
On,12,0.97608484
On,4,0.170578515
On,25,0.635562621
On,1,0
On,8,0.44223321
On,6,0.944007477
On,8,0.982567593
On,14,0.879549471
On,17,0.830013178
On,34,0.727390833
On,40,0.939279302
On,13,0.92729884
On,48,0.889842148
On,23,0.923763905
On,2,1
On,6,0.967132018
On,4,1
On,8,0.926879687
On,3,1
On,3,0.914100892
On,1,0
On,1,0
On,7,0.90844969
On,8,0.840594074
On,4,0.25331409
On,20,0.726905987
On,1,0
On,30,0.296346456
On,19,0.881639868
On,12,0.982336813
On,9,0.90420054
On,20,0.956595302
On,34,0.956465339
On,1,0
On,5,0.810143417
On,7,0.980150086
On,10,0.618065633
On,4,0.875
On,12,0.921544283
On,1,0
On,10,0.949942013
On,6,0.777112094
On,1,0
On,1,0
On,1,0
On,81,0.80841409
On,20,0.527897713
On,64,0.815288524
On,27,0.460783833
On,21,0.964705173
On,20,0.959848071
On,24,0.45973031
On,7,0.94095839
On,16,0.922565098
On,58,0.802968271
On,28,0.87555536
On,48,0.751076398
On,11,0.980723941
On,44,0.938712904
On,5,0.861353116
On,62,0.764793644
On,27,0.971503427
On,2,1
On,4,0.960964047
On,2,0.918295834
On,5,0.9697239
On,7,0.779661685
On,2,0.811278124
On,3,0.920619836
On,10,0.598732603
On,41,0.350796555
On,28,0.946707259
On,8,0.422104571
On,6,0.968392514
On,11,0.988109092
On,1,0
On,185,0.902660052
On,58,0.74051091
On,124,0.958384837
On,2,0.918295834
On,85,0.961503517
On,11,0.916118324
On,203,0.938117381
On,71,0.806211711
On,45,0.961439946
On,35,0.920035658
On,49,0.534896443
On,10,0.986659959
On,88,0.922325125
On,12,0.898502355
On,9,0.885633083
On,4,0.83224889
On,24,0.862289199
On,11,0.878570299
On,31,0.96380125
On,5,1
On,83,0.858003562
On,2,0.918295834
On,6,0.968392514
On,22,0.532217404
On,16,0.95671872
On,117,0.916202438
On,52,0.791878414
On,32,0.938443878
On,51,0.928247369
On,95,0.786338712
On,86,0.948360528
On,22,0.960320648
On,35,0.677979867
On,52,0.868583159
On,16,0.900108076
On,4,0.638600906
On,7,0.968632254
On,6,0.946411928
On,6,0.20869771
On,15,0.957436988
On,20,0.932210417
On,10,0.944290069
On,16,0.918700219
On,1,0
On,5,1
On,4,0.791878992
On,1,0
On,77,0.829284804
On,37,0.905352909
On,38,0.913391682
On,7,1
On,25,0.452255699
On,10,0.891668581
On,66,0.923860486
On,4,0.918295834
On,40,0.902649274
On,15,0.878959188
On,30,0.873000198
On,3,0.94639463
On,9,0.875224956
On,8,0.935784974
On,2,1
On,1,0
On,18,0.689368957
On,1,0
