Treatment,Number_CDR3,H
Pre,1,0
Pre,4,0.723308334
Pre,23,0.515143281
Pre,1,0
Pre,13,0.752977715
Pre,7,0.942680715
Pre,18,0.650139685
Pre,16,0.7442116
Pre,2,0.918295834
Pre,8,0.88949769
Pre,3,0.920619836
Pre,1,0
Pre,18,0.748166259
Pre,14,0.516347449
Pre,9,0.764269018
Pre,2,1
Pre,2,0.721928095
Pre,2,1
Pre,2,1
Pre,9,0.954908028
Pre,11,0.894991296
Pre,5,1
Pre,9,0.556985333
Pre,5,0.928383212
Pre,8,0.886709918
Pre,2,0.543564443
Pre,1,0
Pre,1,0
Pre,2,0.175565026
Pre,2,0.918295834
Pre,2,0.168660931
Pre,12,0.905571354
Pre,3,0.94639463
Pre,36,0.635777886
Pre,2,0.961236605
Pre,17,0.188826658
Pre,1,0
Pre,10,0.560586958
Pre,3,0.920619836
Pre,4,0.933816945
Pre,2,1
Pre,2,1
Pre,1,0
Pre,8,0.732796433
Pre,1,0
Pre,1,0
Pre,6,0.773884733
Pre,2,0.918295834
Pre,2,0.918295834
Pre,4,0.5432111
Pre,1,0
Pre,7,0.750387178
Pre,13,0.909559761
Pre,4,0.306034642
Pre,6,0.935944697
Pre,2,0.543564443
Pre,5,0.862692042
Pre,5,0.868621083
Pre,3,0.86991553
Pre,10,0.910434357
Pre,8,0.906431509
Pre,2,1
Pre,4,0.709147917
Pre,6,1
Pre,1,0
Pre,18,0.623898914
Pre,5,0.185946701
Pre,19,0.974668122
Pre,7,0.979569765
Pre,15,0.878916402
Pre,1,0
Pre,13,0.915098313
Pre,11,0.876051154
Pre,12,0.717875644
Pre,11,0.340971989
Pre,2,1
Pre,9,0.858576397
Pre,1,0
Pre,6,0.916269589
Pre,3,0.772506886
Pre,4,0.959147917
Pre,7,0.554212899
Pre,12,0.954522703
Pre,3,0.864973521
Pre,8,0.982567593
Pre,14,0.90974199
Pre,8,0.94072732
Pre,5,0.766893744
Pre,1,0
Pre,4,0.616612394
Pre,2,1
Pre,4,1
Pre,1,0
Pre,1,0
Pre,1,0
Pre,9,0.780091727
Pre,1,0
Pre,3,1
Pre,1,0
Pre,10,0.904689918
Pre,1,0
Pre,4,1
Pre,2,0.721928095
Pre,10,0.95752614
Pre,13,0.699633054
Pre,1,0
Pre,2,0.918295834
Pre,2,0.918295834
Pre,6,1
Pre,2,1
Pre,2,1
Pre,4,0.787208714
Pre,3,0.789690082
Pre,22,0.830433452
Pre,10,0.910434357
Pre,31,0.956118978
Pre,7,0.934515483
Pre,9,0.973197315
Pre,4,0.960964047
Pre,3,1
Pre,4,0.960964047
Pre,16,0.947188728
Pre,2,0.970950594
Pre,6,0.503271365
Pre,18,0.869846445
Pre,18,0.618068207
Pre,18,0.905058105
Pre,2,1
Pre,18,0.682101287
Pre,2,0.918295834
Pre,27,0.625887482
Pre,6,0.956650472
Pre,2,0.650022422
Pre,1,0
Pre,5,0.946265187
Pre,6,0.764488972
Pre,1,0
Pre,2,0.650022422
Pre,2,0.149811367
Pre,5,0.88668288
Pre,11,0.847820967
Pre,9,0.747881587
Pre,8,0.948450312
Pre,6,0.975503759
Pre,4,1
Pre,1,0
Pre,69,0.772680577
Pre,20,0.817339119
Pre,53,0.848563401
Pre,5,1
Pre,43,0.765397052
Pre,6,0.935524532
Pre,85,0.692600862
Pre,24,0.980309079
Pre,17,0.88842443
Pre,17,0.927806997
Pre,14,0.968841085
Pre,3,1
Pre,35,0.726589383
Pre,4,0.921185497
Pre,5,0.879418289
Pre,11,0.916118324
Pre,6,0.882425224
Pre,3,0.789690082
Pre,6,1
Pre,3,0.515273445
Pre,26,0.752865184
Pre,2,0.863120569
Pre,9,0.984858662
Pre,4,1
Pre,28,0.805625865
Pre,15,0.921736845
Pre,4,0.960964047
Pre,17,0.736852279
Pre,8,1
Pre,25,0.930827966
Pre,25,0.862337384
Pre,7,0.888951698
Pre,6,0.967132018
Pre,18,0.566286676
Pre,6,0.936215695
Pre,1,0
Pre,1,0
Pre,8,0.929966032
Pre,5,0.497570205
Pre,7,1
Pre,3,1
Pre,1,0
Pre,2,0.721928095
Pre,1,0
Pre,1,0
Pre,32,0.930493047
Pre,20,0.834123074
Pre,17,0.962988677
Pre,4,1
Pre,16,0.955766996
Pre,5,0.946265187
Pre,35,0.759675776
Pre,2,1
Pre,14,0.932718711
Pre,4,0.896240625
Pre,13,0.930392717
Pre,5,0.928383212
Pre,8,0.971325691
Pre,2,0.41381685
Pre,1,0
Pre,2,0.985228136
Pre,4,0.896240625
On,9,0.973197315
On,5,0.9697239
On,2,1
On,5,0.861353116
On,1,0
On,11,0.961100933
On,11,0.280347883
On,10,0.902963925
On,20,0.750876425
On,8,0.82351658
On,1,0
On,9,0.936589529
On,2,0.918295834
On,15,0.931451619
On,6,0.916269589
On,13,0.977417518
On,11,0.917147984
On,9,0.868384986
On,3,1
On,2,1
On,2,0.918295834
On,5,0.700576755
On,17,0.488219267
On,3,0.94639463
On,5,0.785134774
On,2,0.918295834
On,2,0.439496987
On,3,1
On,2,0.811278124
On,5,0.9697239
On,1,0
On,1,0
On,1,0
On,1,0
On,1,0
On,16,0.97310178
On,5,0.844541246
On,6,0.464213425
On,19,0.935082684
On,4,0.785475297
On,4,0.842907855
On,3,0.94639463
On,2,0.41381685
On,3,0.94639463
On,3,1
On,4,0.723308334
On,16,0.41710664
On,1,0
On,2,1
On,7,0.979569765
On,2,0.918295834
On,2,1
On,4,1
On,2,1
On,2,1
On,4,0.959147917
On,2,0.439496987
On,3,0.94639463
On,2,0.918295834
On,11,0.797460515
On,1,0
On,4,0.894225229
On,15,0.977987163
On,18,0.813612411
On,6,0.835975008
On,1,0
On,2,0.863120569
On,1,0
On,1,0
On,1,0
On,15,0.607309917
On,2,0.918295834
On,8,0.604269985
On,8,0.972765278
On,3,0.864973521
On,1,0
On,2,1
On,5,0.761803883
On,1,0
On,2,0.439496987
On,5,0.962961065
On,2,1
On,5,1
On,1,0
On,2,0.970950594
On,1,0
On,1,0
On,1,0
On,1,0
On,4,0.960964047
On,3,0.982141033
On,4,1
On,1,0
On,1,0
On,2,1
On,6,0.795495515
On,11,0.903282358
On,9,0.976614669
On,8,1
On,2,0.918295834
On,4,0.876357639
On,5,0.962961065
On,2,0.811278124
On,17,0.888865871
On,11,0.828185087
On,4,0.76660311
On,1,0
On,4,0.960964047
On,2,1
On,2,0.918295834
On,2,0.591672779
On,1,0
On,9,0.927412799
On,12,0.949518843
On,9,0.90420054
On,3,0.75
